Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
61.686,19.274,12.433,14.557,11.830,21.861,13.129,19.471,27.152,17.938,32.250,24.612,15.364,10.250,6.750,10.234,9.375,5.068,9.144,15.238,9.938,5.765,8.206
61.849,19.806,13.375,18.543,10.902,19.563,13.521,16.214,28.316,17.177,31.114,23.663,12.932,9.542,5.841,8.831,8.163,4.520,9.567,12.750,9.500,6.137,8.581
61.919,20.113,15.615,15.486,10.304,21.099,14.407,21.043,29.519,17.990,29.205,23.788,13.955,9.736,4.864,9.000,10.067,5.189,8.587,12.333,7.750,5.735,8.713
62.174,18.065,15.000,17.029,10.420,21.358,14.000,18.829,29.759,19.177,33.614,22.875,12.068,10.111,4.864,7.839,10.067,5.919,10.587,14.440,8.062,6.225,8.088
63.674,19.976,14.731,16.600,10.571,20.285,14.679,20.986,27.038,16.042,28.705,24.237,14.568,9.667,6.045,9.040,8.308,4.500,7.875,13.774,8.677,5.294,8.500
65.709,19.960,13.529,13.471,9.411,19.391,12.707,20.486,24.152,16.531,32.364,28.850,12.977,9.250,6.386,7.952,7.808,4.824,9.644,13.095,7.656,6.098,8.963
60.953,17.782,13.202,13.929,10.241,16.033,13.900,20.771,22.544,17.562,23.977,28.487,11.909,8.875,5.386,8.387,7.875,4.851,9.519,13.286,8.031,6.216,6.625
66.349,19.960,15.500,13.529,10.482,17.616,14.886,21.071,21.684,15.990,28.318,25.487,11.750,9.500,4.000,9.032,7.548,4.865,9.404,13.060,8.229,5.863,7.904
61.093,19.452,14.087,15.471,10.839,16.464,13.486,20.814,22.608,15.323,28.295,26.750,12.727,10.639,5.500,7.895,9.010,5.419,9.433,15.048,8.021,6.176,8.199
62.616,19.089,14.087,15.929,11.232,17.675,11.286,18.600,23.886,14.729,31.068,27.163,13.682,10.847,4.455,8.371,7.885,4.622,9.212,12.333,7.938,6.775,9.044
57.802,18.863,13.962,17.971,11.134,17.536,12.479,21.443,23.354,15.510,33.750,26.125,14.386,9.389,6.159,8.927,8.038,5.851,8.663,13.845,9.260,4.804,9.059
55.744,19.484,13.798,16.757,10.545,16.377,14.136,17.657,20.481,13.729,35.364,25.837,11.227,12.250,5.614,9.274,7.240,5.378,9.750,11.714,7.792,6.755,10.140
