Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
59.256,18.944,40.990,14.300,14.054,26.821,21.743,21.486,34.038,19.198,24.977,26.250,37.955,17.444,9.295,20.742,11.913,9.986,10.798,9.250,11.771,6.500,7.301
69.023,19.048,41.231,15.600,15.071,27.808,23.957,20.657,35.658,20.427,25.864,27.075,36.409,15.750,7.955,19.040,13.317,10.838,11.981,11.964,10.615,6.049,8.324
68.988,19.145,39.760,19.071,13.982,23.914,21.829,19.786,32.392,20.062,25.045,28.513,42.250,14.167,10.818,17.718,9.519,8.811,10.625,11.488,10.438,6.049,10.147
65.860,17.218,35.654,15.814,13.366,27.609,23.693,19.914,29.937,21.062,26.273,29.000,35.909,15.500,9.341,19.089,12.798,11.858,10.808,11.571,10.375,6.745,8.934
65.965,17.831,35.875,15.814,14.902,27.868,21.007,18.757,30.975,20.812,22.386,28.350,41.341,15.069,8.523,15.435,9.144,9.649,10.327,11.262,10.312,7.088,9.015
63.512,17.363,36.269,15.214,14.330,25.887,20.093,19.686,27.810,19.167,28.773,30.125,40.773,10.319,9.159,17.089,10.106,9.561,9.635,11.429,9.031,8.157,10.279
70.116,18.008,37.192,14.743,14.455,24.921,21.636,20.629,33.835,18.698,22.773,28.462,36.795,12.139,9.068,15.290,10.904,8.845,9.048,9.310,8.750,6.569,10.346
70.651,19.815,36.740,14.386,15.786,25.457,24.300,25.543,28.949,21.927,23.227,28.950,35.841,15.847,10.045,14.548,8.202,10.149,10.596,9.381,10.750,7.833,8.728
66.140,18.056,39.673,15.157,14.670,25.325,22.071,21.900,33.456,21.323,21.773,29.962,39.545,14.403,8.886,15.565,8.298,8.135,12.606,12.143,11.312,6.392,8.257
67.547,17.637,39.500,13.543,15.304,25.430,24.179,17.371,31.215,21.052,21.841,28.075,36.477,15.736,6.977,15.419,8.683,8.216,11.058,10.595,10.990,7.902,8.096
67.163,17.524,39.615,17.914,16.179,23.291,24.486,16.357,34.278,22.917,25.614,33.175,38.523,16.028,9.318,14.363,9.625,9.601,11.452,13.726,8.917,7.196,7.949
62.733,17.855,39.394,17.786,14.938,23.033,24.986,21.714,32.266,19.010,26.364,29.750,41.682,16.444,8.864,15.363,7.971,9.966,12.365,10.262,11.219,8.020,8.838
58.977,17.427,38.019,14.943,16.071,24.854,24.779,17.957,35.734,20.094,21.364,32.013,42.932,14.611,8.795,15.452,9.442,8.426,10.481,10.143,11.542,8.245,8.993
60.779,18.048,38.837,13.243,15.214,23.550,25.300,17.386,30.316,19.635,23.386,27.388,38.250,14.806,9.614,13.540,6.808,8.986,10.721,9.726,11.344,7.353,7.993
67.023,17.935,40.212,17.829,14.982,22.530,20.757,20.143,31.494,20.177,27.523,27.325,37.932,15.486,8.045,15.927,8.712,7.878,12.817,12.071,10.448,7.882,9.368
70.779,18.347,35.231,17.800,18.000,24.861,25.429,19.971,28.911,22.323,29.159,29.075,34.068,14.444,8.273,15.613,9.087,8.095,12.481,13.262,10.521,7.500,9.618
66.849,19.258,33.058,16.814,15.143,22.444,25.471,22.843,31.063,17.052,29.341,29.312,34.114,13.417,10.114,14.411,9.212,9.351,12.558,11.774,10.625,7.324,9.713
68.081,22.266,36.856,15.900,17.071,23.960,25.579,21.371,28.063,19.406,31.659,29.688,33.636,12.639,10.000,13.742,9.644,9.304,10.029,11.226,10.562,7.696,9.074
67.884,19.935,34.250,16.000,15.366,22.000,25.036,23.386,28.949,20.333,25.341,28.513,33.295,13.056,8.205,14.323,7.365,8.730,11.971,8.917,11.188,7.235,9.309
63.802,17.435,37.587,14.843,14.509,23.483,25.950,19.357,27.228,17.708,25.023,30.100,38.364,15.125,8.864,14.113,8.452,9.020,11.769,10.607,10.094,7.588,8.846
62.674,19.065,37.375,15.843,16.268,23.815,24.186,17.557,28.671,19.875,30.773,29.513,35.432,14.264,11.227,13.653,10.308,7.669,11.375,12.274,8.677,8.598,8.074
67.407,16.798,39.058,16.043,15.902,24.139,23.671,19.457,27.152,16.917,22.932,28.825,39.591,15.125,7.068,11.935,9.135,8.966,10.981,13.226,9.552,10.922,8.824
66.907,18.226,37.740,17.357,16.839,22.881,25.000,18.186,25.949,18.219,29.114,31.913,43.318,16.556,7.432,13.145,10.019,8.392,11.990,10.738,11.354,11.902,9.044
68.593,21.815,41.606,15.243,17.536,23.000,25.093,16.957,24.608,17.417,35.341,29.500,35.409,16.056,11.045,11.669,9.029,8.608,10.327,9.393,8.333,13.275,8.147
61.930,17.621,37.990,18.157,15.152,22.695,24.450,17.786,24.848,18.698,27.591,30.312,38.227,15.361,10.682,12.540,9.202,8.649,11.038,10.179,12.156,12.745,8.941
64.209,17.452,35.952,16.300,14.446,24.675,25.871,17.414,23.544,18.885,27.091,30.837,43.614,16.486,8.682,11.952,9.712,7.014,10.779,10.881,8.281,14.098,8.809
61.605,17.290,31.462,15.829,15.366,23.159,26.229,14.800,20.810,19.062,23.068,31.950,42.818,12.917,8.773,13.113,9.837,8.872,8.904,12.405,9.760,13.922,7.750
62.047,17.669,30.683,16.957,13.545,22.934,23.914,16.086,22.924,17.562,32.068,30.788,38.477,14.958,9.886,11.355,10.971,9.541,9.298,10.845,9.500,15.010,8.522
67.570,22.435,29.346,16.886,15.991,22.960,24.757,17.029,23.443,15.448,31.659,30.638,33.841,12.333,12.068,11.444,10.596,8.655,9.740,12.131,11.000,14.294,8.934
63.000,21.016,28.442,16.543,15.938,22.781,25.614,18.086,20.785,14.156,19.841,29.337,33.523,13.792,10.545,11.073,11.048,8.007,8.510,12.571,10.573,15.588,9.441
66.163,20.387,28.625,18.757,13.571,20.225,25.807,18.086,19.835,16.917,29.795,29.438,35.341,13.125,12.500,11.661,9.683,7.689,10.154,11.857,9.365,13.186,9.346
64.023,17.782,30.769,18.871,17.161,20.914,24.536,15.914,21.570,16.094,25.977,28.288,38.864,14.125,10.250,11.250,9.865,10.162,9.038,11.714,10.729,13.912,9.412
65.291,17.645,28.163,16.543,15.991,23.411,24.843,16.814,18.595,16.594,26.000,32.338,39.818,12.792,10.705,9.661,9.317,8.047,8.654,9.952,9.000,15.637,7.941
63.465,17.742,28.327,18.414,17.125,19.510,25.336,16.800,18.304,16.177,26.136,28.650,34.841,14.806,7.159,9.290,8.327,8.061,8.385,11.476,10.156,16.186,8.640
64.523,19.065,30.250,18.129,15.527,23.007,27.171,17.457,19.962,14.271,31.750,31.325,36.750,15.306,8.227,10.202,8.087,9.041,10.221,10.702,9.365,15.755,9.081
67.291,19.976,30.865,16.429,15.223,22.636,27.279,17.714,16.392,16.562,25.705,31.663,37.727,16.181,9.068,10.008,8.192,9.655,8.885,11.250,9.604,15.304,8.735
65.012,19.766,29.942,17.600,16.125,20.073,26.364,17.014,19.278,13.958,30.136,33.200,38.455,13.639,6.455,9.516,7.212,9.520,8.750,11.238,10.188,15.196,9.301
68.930,19.992,29.500,17.000,15.464,23.848,26.921,17.543,19.494,15.625,21.773,33.000,35.818,13.958,8.545,10.903,8.154,9.128,10.385,12.798,11.594,15.059,9.000
68.791,20.911,33.394,17.557,15.214,22.040,26.264,21.000,19.089,17.823,24.864,27.413,35.705,14.833,9.000,9.621,6.827,10.649,8.375,12.619,10.052,16.343,9.103
69.523,21.919,34.000,18.171,15.938,23.212,26.050,17.757,19.873,15.354,29.932,29.663,32.727,16.514,10.841,9.323,9.048,9.885,8.587,14.071,11.542,16.775,9.824
69.105,19.089,38.769,16.000,13.821,21.775,24.436,18.743,19.722,14.896,26.841,29.525,34.273,13.972,10.273,10.847,9.712,10.399,8.163,12.167,12.740,13.657,8.794
70.302,19.008,35.606,14.657,14.634,21.351,25.936,17.700,17.038,16.312,24.000,29.438,35.636,15.042,9.682,11.065,7.019,10.297,8.692,12.774,9.573,14.765,9.081
72.081,19.452,34.048,17.743,13.643,22.563,25.007,16.514,17.734,16.635,26.841,31.188,34.364,17.458,11.000,9.363,8.106,9.446,8.115,12.464,11.469,16.696,8.353
73.081,19.508,32.615,16.057,13.768,22.901,24.593,20.229,20.380,14.812,23.591,28.438,41.932,15.903,10.659,9.798,8.096,8.378,11.202,12.726,11.104,14.549,8.647
71.651,19.476,32.712,16.157,12.634,25.159,25.479,15.986,17.987,16.615,21.977,28.138,37.545,13.264,10.500,9.266,7.490,9.243,8.144,12.464,11.271,14.971,10.154
73.988,23.774,38.962,16.814,15.071,26.424,25.521,17.286,18.557,13.938,23.477,28.875,35.636,15.736,12.295,9.024,7.385,9.446,9.346,12.607,11.833,14.794,8.382
72.965,20.097,35.327,15.900,14.429,26.960,26.350,19.957,19.987,16.510,22.091,27.950,37.114,18.181,10.295,7.927,6.702,8.716,8.317,12.107,11.000,13.794,8.772
74.058,20.548,34.644,17.514,14.821,26.219,26.257,20.500,20.785,15.531,26.432,29.225,38.114,18.667,8.045,8.782,7.942,9.169,9.077,13.619,11.115,13.382,9.257
74.884,20.476,35.096,16.529,13.170,25.616,26.429,16.914,20.759,17.448,22.636,29.550,40.818,16.292,9.886,9.831,7.202,9.831,9.125,10.750,11.469,13.912,8.243
73.116,25.161,38.558,16.300,14.893,26.079,25.421,19.386,22.089,19.760,27.295,30.413,39.977,17.625,10.705,8.565,6.288,8.270,8.702,13.345,15.000,12.559,9.301
76.651,18.379,38.029,17.800,15.812,25.828,24.521,20.771,21.089,16.531,25.068,33.062,40.523,14.639,10.227,8.387,6.750,9.872,10.106,13.393,11.385,12.412,9.390
72.942,20.032,39.288,15.643,12.643,24.517,25.557,21.357,20.759,16.448,24.500,30.125,45.932,16.569,8.705,8.210,7.913,9.541,9.644,9.667,11.844,13.167,8.375
76.977,19.048,43.933,16.971,14.250,24.907,24.621,22.114,24.418,19.125,25.955,29.675,41.295,16.278,8.727,9.815,7.260,10.007,8.808,13.214,11.021,12.951,6.485
69.663,18.718,42.510,17.271,13.554,27.881,22.829,19.943,25.329,20.312,25.545,29.188,43.068,18.806,10.659,9.806,7.577,10.946,8.250,11.250,12.302,12.039,8.765
70.581,18.161,40.433,14.043,13.143,25.589,24.664,20.629,25.228,20.260,20.886,32.250,45.500,18.278,7.977,9.000,6.788,10.689,7.500,10.512,10.812,12.618,7.926
71.047,20.581,44.260,15.671,12.893,27.490,23.971,22.200,26.886,20.635,30.614,27.712,45.909,21.778,10.159,9.363,7.635,10.426,8.548,14.036,10.906,12.706,8.654
74.640,19.355,43.913,15.657,13.268,27.338,24.064,18.971,20.722,20.719,26.955,31.450,49.977,17.792,8.273,9.911,8.913,10.101,10.529,12.214,12.156,13.167,8.360
75.977,22.919,44.308,15.886,13.920,28.669,25.771,18.071,23.734,20.135,30.159,31.538,46.773,21.653,12.659,10.331,8.500,9.764,8.154,13.417,12.615,13.225,8.779
76.570,19.742,45.529,15.286,15.143,28.325,26.343,19.257,27.671,21.323,24.682,30.638,51.273,18.681,8.205,11.411,9.202,10.095,8.962,11.869,12.240,14.069,9.397
72.977,18.427,41.327,14.829,13.143,27.762,24.321,19.886,25.785,21.604,25.364,34.350,42.250,18.125,10.545,9.218,7.125,10.581,8.135,13.155,11.417,12.039,8.779
77.698,17.113,43.356,16.557,12.589,28.801,27.379,20.114,26.177,18.427,31.864,32.912,50.795,19.250,8.773,9.718,6.375,10.973,8.529,13.500,11.208,12.324,8.926
71.105,19.379,38.385,16.257,14.268,27.046,26.364,19.571,26.506,20.990,29.182,32.737,44.659,18.806,8.750,9.669,7.615,10.439,9.087,12.226,12.333,12.873,9.412
73.512,18.782,41.183,16.829,14.107,27.126,26.750,21.443,27.000,23.302,25.227,33.875,53.909,16.444,8.205,8.661,7.817,9.878,8.087,13.881,10.656,14.069,8.632
74.233,18.613,42.548,17.629,16.634,27.344,26.864,17.886,28.380,26.135,28.591,34.150,56.864,18.361,8.432,9.879,6.375,9.959,9.413,13.202,12.229,13.000,8.154
75.558,19.597,42.625,15.186,14.134,26.656,27.357,21.771,31.089,21.781,32.864,31.625,53.500,21.028,8.591,7.339,6.587,9.662,9.596,13.583,13.562,11.922,8.081
74.628,17.081,45.904,16.257,15.643,28.046,25.893,20.800,30.089,23.219,28.705,31.013,55.045,18.458,8.886,7.863,6.990,10.615,9.077,14.214,10.417,13.010,9.419
70.872,18.742,38.788,13.386,13.696,28.358,27.521,22.900,29.949,22.531,28.591,31.087,49.386,17.514,8.136,9.661,8.067,10.331,8.962,14.440,12.896,12.637,7.419
73.023,19.210,44.827,15.529,15.589,28.033,26.521,19.757,32.177,21.854,30.068,31.913,50.614,17.306,8.386,9.653,7.087,10.122,10.577,15.929,13.479,12.078,8.801
72.279,18.621,43.692,17.386,13.420,26.503,26.464,19.657,30.392,21.292,30.659,29.163,55.477,19.014,8.727,9.202,5.933,11.122,9.683,12.762,12.312,13.510,8.743
75.512,18.484,43.423,14.786,14.009,26.609,27.414,21.571,29.620,22.812,26.682,25.225,51.227,21.153,7.295,8.774,6.250,9.588,9.721,16.190,11.802,14.029,8.294
74.291,24.331,50.721,16.714,14.920,26.344,26.929,18.457,29.544,20.104,32.545,26.075,45.091,20.944,10.295,9.532,5.981,9.514,10.260,14.381,11.333,12.892,7.801
76.000,18.161,48.087,16.800,15.518,27.086,26.771,19.471,28.089,20.510,29.432,25.413,40.295,20.014,8.341,9.129,5.894,9.608,10.548,15.714,12.115,14.029,8.934
76.779,20.935,47.029,15.957,15.214,26.629,27.129,19.957,27.975,20.333,27.068,25.125,46.386,18.958,9.886,9.395,7.385,9.115,11.894,15.310,12.719,12.382,8.096
74.953,22.282,49.952,16.743,15.929,26.331,27.371,18.400,26.620,21.854,27.886,25.663,46.886,18.208,8.682,9.532,6.913,10.446,12.538,14.452,11.573,14.196,9.191
74.395,23.992,54.846,14.786,16.214,26.960,28.721,17.286,28.595,20.708,29.227,28.525,41.659,21.375,9.273,9.605,7.856,10.980,10.462,14.702,13.521,14.755,8.853
75.616,19.282,53.692,16.829,16.473,27.318,25.636,19.314,24.506,20.792,26.591,27.175,47.364,17.569,8.841,10.089,7.567,10.655,12.635,14.298,12.375,12.971,8.691
71.244,20.508,55.798,14.743,14.670,27.887,26.529,18.557,25.734,18.104,26.409,25.800,42.818,16.750,9.068,10.242,7.337,12.000,13.067,13.988,11.990,11.667,8.721
79.930,20.202,51.827,15.343,14.384,28.682,27.893,20.814,23.709,18.188,26.023,28.750,54.295,18.000,9.500,11.645,7.827,11.236,11.846,12.060,13.625,12.147,9.993
74.012,18.823,55.250,16.914,14.196,28.927,28.707,17.271,25.456,18.479,22.864,25.475,43.295,17.750,8.750,12.484,7.192,12.209,11.481,15.083,13.448,14.882,8.331
76.326,21.202,53.519,16.614,14.411,27.901,26.607,19.657,24.266,19.865,26.386,29.188,43.455,19.111,7.523,13.363,7.808,12.784,12.490,14.012,12.229,14.402,9.426
73.814,20.040,52.875,15.714,16.134,28.874,26.286,20.071,24.608,21.531,24.773,30.375,49.432,18.889,8.636,12.718,9.067,14.466,11.038,15.048,12.427,13.451,9.029
75.895,20.339,51.760,17.686,13.393,29.583,26.436,19.714,22.380,18.635,18.795,28.375,49.614,18.708,10.023,9.403,9.067,12.270,11.827,13.619,12.740,14.549,9.941
75.244,20.282,53.404,13.343,15.911,28.033,26.864,16.586,22.696,17.365,23.477,28.138,44.045,19.458,7.750,11.121,8.990,12.122,11.385,13.071,12.854,13.216,9.735
76.244,22.790,49.038,15.300,13.339,27.848,25.200,19.271,21.949,18.583,23.364,32.000,44.159,18.778,7.750,10.597,10.423,11.554,11.548,10.690,13.135,13.706,8.471
72.233,20.992,52.519,17.914,15.795,29.079,26.536,22.386,21.468,17.906,20.818,26.587,41.045,18.194,9.795,10.597,8.721,11.757,13.096,11.810,13.229,12.186,10.632
74.326,24.508,56.712,16.629,16.545,31.106,25.629,19.514,22.582,17.615,25.023,28.862,42.659,18.542,11.795,11.032,8.942,13.649,11.808,14.083,13.021,12.637,8.287
75.919,20.621,51.260,18.057,16.027,30.834,24.364,16.757,22.506,18.708,22.341,27.987,50.773,18.083,8.841,11.202,8.010,12.074,12.769,10.917,13.208,13.196,8.456
70.826,20.565,49.529,14.414,18.438,31.358,24.557,18.729,19.367,14.771,20.568,28.675,45.455,16.486,9.205,11.331,9.096,11.358,10.702,10.464,11.781,13.118,8.493
72.407,19.871,49.625,15.129,17.170,29.430,22.607,20.786,21.987,15.854,26.068,31.638,49.545,18.611,7.886,11.871,9.288,10.959,11.048,11.226,11.542,14.078,8.346
69.442,18.089,51.375,17.029,17.205,31.013,25.207,17.786,21.646,18.698,23.273,28.538,49.636,17.681,7.727,9.879,8.942,12.507,10.327,12.952,11.188,12.686,8.279
70.430,19.629,52.625,15.129,17.268,31.219,23.771,20.629,21.342,14.469,26.182,27.913,42.000,15.403,10.205,11.242,8.654,13.446,12.106,13.214,11.802,15.647,7.728
67.244,18.726,50.692,12.271,16.812,33.391,24.429,16.943,20.810,16.802,24.932,27.038,42.841,16.250,8.341,10.185,8.596,12.757,11.615,11.798,11.448,11.755,8.515
65.047,19.097,48.500,15.700,14.652,31.483,23.757,23.443,19.911,18.688,26.614,30.975,49.068,15.472,9.614,11.298,8.077,11.351,10.750,14.000,11.750,12.696,7.904
65.663,19.823,47.413,15.729,18.339,31.709,22.457,24.243,20.544,17.594,24.591,30.712,43.795,17.028,7.409,12.589,9.106,11.696,10.923,11.845,12.354,12.294,8.971
66.651,19.387,46.260,17.486,16.982,30.861,25.386,24.329,20.684,16.260,28.000,30.275,40.568,17.653,8.636,12.702,8.365,12.649,12.365,11.417,12.333,13.275,8.088
69.465,18.887,49.346,14.457,15.848,32.364,24.557,21.471,18.848,18.531,23.545,29.212,42.795,16.111,10.250,13.145,10.885,13.912,12.288,11.714,13.302,11.010,9.743
64.535,18.960,48.990,17.271,16.527,31.788,25.007,24.500,19.937,17.083,20.682,31.987,42.727,16.167,11.341,13.500,9.894,13.223,12.587,11.345,10.688,11.941,9.199
65.360,21.073,48.288,12.857,16.964,33.166,23.229,22.114,21.658,16.542,28.068,30.462,37.568,17.806,9.727,14.387,9.981,14.588,10.279,12.345,13.344,14.784,8.669
61.407,14.669,43.183,16.143,18.518,30.987,25.586,23.814,18.823,17.656,25.477,30.475,45.568,18.667,9.591,12.637,11.240,15.257,11.779,10.798,12.677,11.696,8.574
61.860,18.298,47.904,13.671,17.804,29.530,26.064,21.357,20.127,19.885,26.250,29.300,40.591,15.611,9.386,12.032,10.798,13.507,11.875,12.060,11.615,12.588,8.868
69.326,17.565,47.125,15.186,15.902,28.735,26.264,21.771,19.975,16.635,24.932,32.375,45.523,17.917,7.705,12.847,12.212,13.797,9.798,12.702,12.062,9.971,10.338
67.570,18.395,47.077,16.157,15.116,29.596,24.886,20.557,17.190,18.885,22.205,32.662,39.795,17.056,8.295,14.379,12.288,14.993,11.962,10.643,10.677,11.206,9.206
62.674,18.790,48.558,18.386,17.223,31.848,24.029,24.114,21.696,19.594,19.136,34.062,43.477,17.514,8.000,14.105,13.394,13.682,13.038,13.155,12.344,10.245,8.779
59.291,20.968,49.288,15.129,15.446,30.828,25.493,19.071,21.266,18.000,27.886,30.913,38.727,15.764,7.295,13.992,15.923,16.169,11.654,11.595,11.312,10.422,7.147
58.081,18.742,45.019,17.100,15.661,30.583,23.864,20.386,20.076,18.417,24.636,31.263,41.955,19.750,8.455,12.710,15.115,14.878,11.548,13.155,11.885,11.451,8.669
60.163,18.210,44.173,16.557,15.804,30.583,25.243,20.614,20.924,18.646,24.000,30.375,42.500,16.944,7.136,13.040,12.000,15.405,10.423,13.060,14.021,13.206,9.382
56.163,15.226,43.808,15.886,14.232,27.026,24.571,18.843,17.671,16.885,25.318,32.900,50.523,16.431,8.068,12.476,13.865,13.703,11.558,11.571,12.052,12.069,8.949
57.081,17.847,41.587,15.186,13.661,30.351,24.900,19.871,18.911,15.010,26.318,32.562,48.386,17.917,9.886,12.194,12.923,13.358,10.798,11.607,11.490,13.627,8.654
57.698,16.540,41.904,14.586,15.107,33.464,25.421,24.343,19.013,18.365,24.977,33.287,45.364,20.556,8.432,13.048,14.933,16.250,11.365,14.905,12.792,12.647,12.382
55.814,21.089,45.615,14.586,15.946,33.199,25.221,23.600,17.987,18.188,28.477,32.463,45.477,17.931,10.273,12.492,16.048,14.959,10.250,13.679,11.885,14.618,10.919
58.535,20.363,48.394,17.371,14.732,34.669,22.614,17.971,21.165,17.906,27.068,29.100,42.886,19.889,8.750,12.629,15.923,14.682,9.683,12.214,12.573,15.441,10.390
55.407,18.032,41.808,16.771,16.071,30.013,25.179,23.314,20.418,21.531,25.182,33.000,44.841,21.917,8.045,11.234,14.500,14.507,12.500,13.060,11.865,13.794,10.449
57.035,17.508,39.394,13.871,15.527,32.192,26.357,20.629,18.570,16.885,28.705,31.800,45.023,18.667,8.636,14.371,14.375,13.541,10.327,13.548,10.375,12.029,10.029
54.419,16.347,41.337,13.886,16.821,32.060,22.879,21.971,21.278,20.021,26.295,31.450,41.864,19.153,8.864,12.492,15.837,12.500,10.769,14.560,11.927,13.853,10.654
57.000,18.702,41.019,15.000,16.080,34.636,23.521,26.200,21.519,20.531,26.591,34.213,40.023,18.375,8.159,12.766,15.192,12.399,10.442,13.583,12.938,10.931,11.044
56.174,18.145,45.029,12.886,16.527,31.808,24.736,24.871,21.430,21.896,30.068,31.987,45.205,18.653,5.909,15.323,18.096,12.797,12.173,12.929,11.042,12.343,10.838
58.244,21.024,46.673,15.557,17.286,33.662,25.057,25.000,23.722,19.042,24.864,30.225,37.295,22.944,7.591,12.895,17.096,12.912,10.625,12.738,12.031,12.294,11.654
57.640,21.282,48.596,17.943,16.321,36.298,26.629,21.400,23.139,21.417,26.568,27.375,38.045,18.736,8.591,13.613,14.663,13.642,10.019,14.524,12.521,14.186,9.493
55.907,21.355,50.077,17.300,19.170,34.331,26.357,22.300,23.886,22.500,31.795,29.438,34.705,15.944,8.455,14.484,18.481,13.135,11.567,12.726,12.521,12.843,10.066
54.698,19.661,50.000,16.086,17.295,31.974,25.707,27.057,24.316,20.885,27.682,28.775,41.727,17.542,8.614,14.935,15.337,11.980,9.750,11.774,12.406,12.422,12.074
57.163,20.565,53.827,15.429,20.429,34.172,25.486,25.857,28.304,23.427,28.795,28.000,38.795,17.958,8.364,11.685,19.250,12.547,10.923,11.452,11.146,15.176,9.978
56.488,19.806,53.433,14.300,19.518,35.510,25.414,25.614,29.975,23.573,31.273,26.675,32.114,19.986,8.227,14.935,16.212,12.824,10.212,10.607,14.229,13.539,9.956
56.547,18.734,48.356,14.643,21.955,33.490,24.786,26.257,30.684,21.552,25.523,28.413,38.341,20.167,8.864,15.056,16.288,11.642,9.413,12.333,13.521,13.676,8.338
55.872,17.597,49.837,14.257,25.179,33.245,24.814,24.214,32.089,21.240,26.795,29.425,37.136,19.389,7.455,15.355,17.356,11.351,9.548,10.690,11.667,10.882,8.765
56.360,18.734,48.125,13.500,25.634,32.172,24.679,25.571,30.367,21.562,25.932,27.312,41.568,20.194,10.614,14.452,18.875,10.351,10.837,11.095,12.792,13.294,10.074
61.081,16.895,51.827,13.557,26.616,33.152,23.986,26.771,35.215,23.427,29.136,27.825,40.977,21.056,10.227,15.202,16.356,12.635,10.231,10.798,12.281,10.157,9.206
55.628,18.637,49.923,13.643,27.554,33.980,25.643,23.771,33.810,23.052,32.386,28.763,37.727,17.278,8.091,14.581,18.740,11.034,11.538,11.500,11.417,9.578,8.588
55.047,17.847,55.788,17.529,26.643,32.781,24.521,26.857,36.405,22.146,25.955,31.538,39.114,19.167,7.523,17.153,18.673,12.068,10.808,10.238,10.927,10.127,8.507
56.802,18.105,49.942,15.557,32.321,34.046,24.443,28.343,35.987,27.552,26.705,30.288,43.273,20.528,7.523,16.540,18.115,10.899,10.106,11.298,12.177,10.304,8.000
56.721,18.290,47.817,15.529,35.321,35.510,25.500,29.171,36.329,25.396,27.318,31.275,38.523,18.236,7.477,15.766,17.183,11.095,9.529,12.310,13.385,10.275,9.316
58.651,18.750,49.971,13.657,29.723,35.536,26.564,24.943,39.430,26.021,28.432,33.200,39.591,19.833,5.591,15.984,19.038,13.507,10.067,12.810,11.531,10.627,9.324
56.267,17.379,48.654,15.100,30.812,35.192,26.021,26.300,38.924,29.583,30.477,32.562,38.727,16.486,7.250,15.444,16.519,12.872,10.269,14.381,11.812,11.039,9.809
56.733,17.000,48.317,14.986,34.143,32.934,24.057,23.800,42.418,23.500,30.636,30.550,33.068,18.278,7.477,14.444,16.423,11.081,10.500,13.321,10.656,9.539,8.022
52.942,17.806,46.538,14.586,32.339,33.887,27.029,25.686,43.557,26.010,30.500,32.250,33.636,18.306,6.932,14.863,17.135,12.122,11.077,13.583,11.719,9.931,7.750
52.686,17.274,48.385,13.057,30.277,36.000,27.443,25.157,43.911,28.073,32.727,32.425,37.932,18.861,6.341,16.048,16.702,10.655,10.260,13.845,11.406,9.931,9.404
56.895,20.202,52.683,15.000,33.080,34.583,26.221,22.243,40.367,26.490,34.636,31.413,30.727,17.208,8.636,15.298,19.894,13.419,9.346,14.833,11.719,10.804,8.184
53.977,19.089,46.702,13.257,33.196,32.457,26.750,25.271,43.038,26.333,30.591,31.900,36.364,17.028,6.977,13.234,17.317,11.453,11.365,17.286,12.365,11.412,8.971
55.337,19.153,51.202,15.500,36.134,33.424,27.057,24.357,40.203,24.938,32.182,30.562,34.432,16.194,9.068,15.185,15.788,12.493,13.115,13.310,12.219,11.176,8.574
52.023,17.169,49.683,14.514,36.330,32.245,27.871,21.771,43.304,25.552,32.591,29.263,36.841,15.875,8.023,16.000,18.067,11.338,10.798,14.286,13.635,11.216,8.941
55.628,18.621,50.981,15.643,34.179,33.073,28.943,27.214,41.380,23.750,34.477,29.263,41.227,17.792,7.114,14.395,17.135,11.831,11.538,12.833,12.708,11.147,8.125
51.953,18.637,49.163,16.057,33.839,35.238,26.693,25.857,41.266,25.448,30.068,29.325,35.955,16.000,8.432,13.742,15.183,12.905,11.173,12.690,11.896,9.775,7.757
52.965,15.476,49.442,15.829,35.393,31.695,27.664,25.043,37.671,24.188,33.591,30.112,31.659,16.681,7.318,15.032,16.923,12.419,12.683,13.667,11.833,9.255,8.493
58.081,16.726,43.154,16.843,36.652,29.079,27.021,24.314,37.747,22.052,30.545,29.438,36.364,14.083,7.386,13.565,16.462,12.514,10.952,15.012,11.396,10.098,8.221
56.465,17.121,48.990,16.486,35.393,30.430,23.657,22.729,36.367,22.125,29.432,31.337,38.636,16.431,7.773,14.661,15.683,12.027,11.288,15.798,11.604,11.980,7.831
53.686,16.298,51.240,18.414,37.670,27.629,25.479,26.471,37.861,20.823,31.364,29.612,39.864,16.431,7.455,16.250,15.077,11.088,13.077,14.405,14.646,10.980,8.596
54.919,14.516,46.923,12.886,37.804,30.020,28.314,26.214,35.810,22.979,34.000,33.500,37.795,18.417,7.159,14.081,15.683,11.331,9.221,14.869,12.635,10.608,7.471
52.465,16.032,44.692,15.629,39.179,27.152,26.736,27.314,38.089,23.594,30.341,30.462,35.545,18.292,6.295,13.855,16.817,12.601,10.567,14.226,12.375,12.196,10.110
51.221,13.823,43.010,14.129,35.973,28.689,26.079,23.771,33.392,20.594,31.386,32.763,34.750,18.042,9.818,15.589,14.962,11.824,11.577,12.369,11.427,10.882,9.603
51.837,16.121,43.760,15.786,35.420,27.755,25.293,22.929,31.734,18.729,30.727,27.950,35.636,17.944,6.023,15.081,14.423,12.277,11.462,13.405,12.156,9.961,8.382
51.302,13.411,39.962,14.943,35.027,28.795,25.007,23.171,34.911,21.594,29.932,30.737,39.227,19.681,9.136,13.758,14.000,13.432,10.481,15.071,12.979,9.431,9.875
